film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
The Book Thief,2013,adaptation,46,53,49.5,74,73,1,73.5,-24,"Drama, War",105005,0.11,21488481,21.49,55.10,55097835,"76,586,316",77,71.94%,19,403.09%,0.55%,,,http://www.amazon.com/gp/product/B00I2X7X7K/?tag=titb-20,1
Evil Dead,2013,original screenplay,62,57,59.5,63,74,-11,68.5,-9,"Thriller, Horror",25775847,25.78,54239856,54.24,43.30,43303096,"97,542,952",98,44.39%,17,573.78%,151.62%,,,http://www.amazon.com/gp/product/B00DHNAQ2Y/?tag=titb-20,1
The Best Man Holiday,2013,sequel,68,59,63.5,84,60,24,72,-8.5,"Drama, Comedy",30107555,30.11,70525195,70.53,1.10,1100000,"71,625,195",72,1.54%,17,421.32%,177.10%,,,http://www.amazon.com/gp/product/B00ID4IATI/?tag=titb-20,1
Mama,2013,adaptation,65,57,61.0,56,69,-13,62.5,-1.5,"Mystery, Horror",28402310,28.40,71628180,71.63,74.80,74800000,"146,428,180",146,51.08%,15,976.19%,189.35%,,,http://www.amazon.com/gp/product/B00COHAUD4/?tag=titb-20,1
Romeo and Juliet,2013,adaptation,22,41,31.5,48,59,-11,53.5,-22,"Drama, Romance",520116,0.52,1162635,1.16,1.80,1800000,"1,162,637",1,154.82%,15,7.75%,3.47%,,,http://www.amazon.com/gp/product/B00I8H5EK8/?tag=titb-20,1
Jackass Presents: Bad Grandpa,2013,sequel,60,54,57.0,61,66,-5,63.5,-6.5,"Comedy, Documentary ",32055177,32.06,102003019,102.00,49.83,49828518,"151,831,537",152,32.82%,15,1012.21%,213.70%,,,http://www.amazon.com/gp/product/B00H9UY4J2/?tag=titb-20,1
21 and Over,2013,original screenplay,27,34,30.5,47,54,-7,50.5,-20,Comedy,8754168,8.75,25682380,25.68,22.38,22383292,"48,383,672",48,46.26%,13,372.18%,67.34%,,,http://www.amazon.com/gp/product/B00DGNOJ00/?tag=titb-20,1
The Call,2013,original screenplay,43,51,47.0,65,65,0,65,-18,Thriller,17118745,17.12,51872378,51.87,16.70,16700000,"68,572,378",69,24.35%,13,527.48%,131.68%,,,http://www.amazon.com/gp/product/B00DHMI9YM/?tag=titb-20,1
Philomena,2013,based on a true story,92,76,84.0,89,79,10,84,0,Drama,128435,0.13,37709979,37.71,62.42,62419893,"100,129,872",100,62.34%,12,834.42%,1.07%,,,http://www.amazon.com/gp/product/B00IGI5CX8/?tag=titb-20,1
About Time,2013,original screenplay,69,55,62.0,81,82,-1,81.5,-19.5,"Sci-Fi, Drama, Fantasy, Comedy, Romance",1076250,1.08,15322921,15.32,71.78,71777528,"87,100,449",87,82.41%,12,725.84%,8.97%,,,http://www.amazon.com/gp/product/B00I8H7APK/?tag=titb-20,1
Inside Llewyn Davis,2013,adaptation,94,92,93.0,73,75,-2,74,19,"Drama, Music",405411,0.41,12235319,12.24,19.70,19700000,"32,935,319",33,59.81%,11,299.41%,3.69%,,,http://www.amazon.com/gp/product/B00IDD5HW2/?tag=titb-20,1
Movie 43,2013,original screenplay,4,18,11.0,24,30,-6,27,-16,Comedy,4805878,4.81,8840453,8.84,23.60,23598535,"32,438,988",32,72.75%,6,540.65%,80.10%,,,http://www.amazon.com/gp/product/B00DBT6SI0/?tag=titb-20,1
Instructions Not Included,2013,original screenplay,56,55,55.5,89,77,12,83,-27.5,"Drama, Comedy",7846426,7.85,44467207,44.47,54.60,54600000,"99,067,206",99,55.11%,6,1801.22%,142.66%,,,http://www.amazon.com/gp/product/B00HAWAXW6/?tag=titb-20,1
"The Way, Way Back",2013,original screenplay,85,68,76.5,84,79,5,81.5,-5,"Drama, Comedy",552788,0.55,21506546,21.51,1.69,1692106,"23,198,652",23,7.29%,5,463.97%,11.06%,,,http://www.amazon.com/gp/product/B00FBSP9SO/?tag=titb-20,1
Insidiuous Chapter 2,2013,sequel,38,40,39.0,57,69,-12,63,-24,"Thriller, Horror",40272103,40.27,83586447,83.59,78.33,78332871,"161,919,318",162,48.38%,5,3238.39%,805.44%,,,http://www.amazon.com/gp/product/B00GMOR7LS/?tag=titb-20,1
Don Jon,2013,original screenplay,80,66,73.0,59,70,-11,64.5,8.5,"Drama, Comedy, Romance",8677009,8.68,24477704,24.48,5.97,5973052,"30,450,756",30,19.62%,3,1015.03%,289.23%,,,http://www.amazon.com/gp/product/B00GJ0HSUK/?tag=titb-20,1
The Purge,2013,original screenplay,38,41,39.5,36,52,-16,44,-4.5,"Sci-Fi, Thriller, Horror",34058360,34.06,64473115,64.47,24.86,24855512,"89,328,627",89,27.82%,3,2977.62%,1135.28%,,,http://www.amazon.com/gp/product/B00FPGSCUY/?tag=titb-20,1
The Spectacular Now,2013,adaptation,93,82,87.5,76,81,-5,78.5,9,"Drama, Comedy, Romance",197415,0.20,6854611,6.85,0.07,69980,"6,854,611",7,1.02%,3,274.18%,7.90%,,,http://www.amazon.com/gp/product/B00H4M3GXK/?tag=titb-20,1
A Haunted House,2013,original screenplay,10,20,15.0,51,51,0,51,-36,"Horror, Comedy",18101682,18.10,40041683,40.04,20.10,20100000,"60,141,683",60,33.42%,3,2405.67%,724.07%,,,http://www.amazon.com/gp/product/B00CHIG3NQ/?tag=titb-20,1
Kevin Hart: Let Me Explain,2013,original screenplay,63,53,58.0,72,63,9,67.5,-9.5,"Comedy, Documentary",10030463,10.03,32244051,32.24,0.07,74000,"32,318,051",32,0.23%,3,1292.72%,401.22%,,,http://www.amazon.com/gp/product/B00FWLIWVG/?tag=titb-20,1
Kill Your Darlings,2013,based on a true story,76,65,70.5,60,67,-7,63.5,7,"Biography, Drama, Thriller, Romance",53452,0.05,1030064,1.03,0.60,600000,"1,030,065",1,58.25%,2,51.50%,2.67%,,,http://www.amazon.com/gp/product/B00J2AJW76/?tag=titb-20,1
Brave,2012,original screenplay,78,69,73.5,76,72,4,74,-0.5,"animation, action, adventure","66,323,594",66.32,237283207,237.28,301.70,"301,700,000","538,983,207",539,55.98%,185,291.34%,35.85%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B009D5VNLS/?tag=titb-20,1
Life of Pi,2012,adaptation,87,79,83.0,85,78,7,81.5,1.5,"adventure, fantasy","22,451,514",22.45,124987023,124.99,484.03,484029542,"609,016,565",609,79.48%,120,507.51%,18.71%,Oscar winner,Best Director,http://www.amazon.com/gp/product/B00BSBT8M6/?tag=titb-20,1
Django Unchained,2012,original screenplay,88,81,84.5,92,85,7,88.5,-4,"adventure, western","30,122,888",30.12,162805434,162.81,262.56,262562804,"425,368,238",425,61.73%,100,425.37%,30.12%,Oscar winner,Best Original Screenplay,http://www.amazon.com/gp/product/B00BJS7104/?tag=titb-20,1
Argo,2012,based on a true story,96,86,91.0,90,79,11,84.5,6.5,"biography, history","19,458,109",19.46,136025503,136.03,96.30,96300000,"232,325,503",232,41.45%,45,516.28%,43.24%,Oscar winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00BHMETKC/?tag=titb-20,1
Silver Linings Playbook,2012,adaptation,92,81,86.5,86,83,3,84.5,2,"comedy, romance","443,003",0.44,132092958,132.09,104.32,104319495,"236,412,453",236,44.13%,21,1125.77%,2.11%,,Best Actress,http://www.amazon.com/gp/product/B00BZAJMWG/?tag=titb-20,1
John Carter,2012,adaptation,51,51,51.0,60,70,-10,65,-14,"action, adventure, fantasy","30,180,188",30.18,73078100,73.08,211.06,211061000,"284,139,100",284,74.28%,250,113.66%,12.07%,,,http://www.amazon.com/gp/product/B0088RQ4X4/?tag=titb-20,1
The Dark Knight Rises,2012,sequel,88,78,83.0,90,84,6,87,-4,"action, crime, thriller","160,887,295",160.89,448139099,448.14,636.30,636300000,"1,084,439,099","1,084",58.68%,250,433.78%,64.35%,,,http://www.amazon.com/gp/product/B009LRE040/?tag=titb-20,1
The Amazing Spider-Man,2012,adaptation,73,66,69.5,77,72,5,74.5,-5,"action, adventure, fantasy","62,004,688",62.00,262030663,262.03,490.19,490185894,"752,216,557",752,65.17%,230,327.05%,26.96%,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20,1
MIB 3,2012,sequel,70,58,64.0,71,69,2,70,-6,"action, comedy, sci-fi","54,592,779",54.59,179020854,179.02,445.01,445005922,"624,026,776",624,71.31%,225,277.35%,24.26%,,,http://www.amazon.com/gp/product/B009HEJXFS/?tag=titb-20,1
Marvel's The Avengers,2012,adaptation,92,69,80.5,91,79,12,85,-4.5,"action, fantasy","207,438,708",207.44,623357910,623.36,895.24,895237000,"1,518,594,910","1,519",58.95%,220,690.27%,94.29%,,,http://www.amazon.com/gp/product/B009GEBBNQ/?tag=titb-20,1
Battleship,2012,original screenplay,34,41,37.5,55,56,-1,55.5,-18,"action, adventure, sci-fi","25,534,825",25.53,65422625,65.42,237.60,237602860,"303,025,485",303,78.41%,209,144.99%,12.22%,,,http://www.amazon.com/gp/product/B008N1LL42/?tag=titb-20,1
The Hobbit: An Unexpected Journey,2012,adaptation,65,58,61.5,83,81,2,82,-20.5,"adventure, fantasy","84,617,303",84.62,303003568,303.00,714.00,714000000,"1,017,003,568","1,017",70.21%,200,508.50%,42.31%,,,http://www.amazon.com/gp/product/B00BWJ6JO4/?tag=titb-20,1
Skyfall,2012,original screenplay,92,81,86.5,86,75,11,80.5,6,"action, adventure, thriler","88,364,714",88.36,304360277,304.36,804.20,804200736,"1,108,561,013","1,109",72.54%,200,554.28%,44.18%,,,http://www.amazon.com/gp/product/B00B5HQLMI/?tag=titb-20,1
Snow White and the Huntsman,2012,adaptation,48,57,52.5,52,62,-10,57,-4.5,"adventure, fantasy","56,217,700",56.22,155332381,155.33,241.26,241260448,"396,592,829",397,60.83%,170,233.29%,33.07%,,,http://www.amazon.com/gp/product/B0098VXCR0/?tag=titb-20,1
Wreck-It Ralph,2012,original screenplay,86,72,79.0,87,85,2,86,-7,"animation, adventure, comedy","49,038,712",49.04,189422889,189.42,281.80,281800000,"471,222,889",471,59.80%,165,285.59%,29.72%,,,http://www.amazon.com/gp/product/B00B2DSK06/?tag=titb-20,1
Dark Shadows,2012,adaptation,38,55,46.5,46,56,-10,51,-4.5,"comedy, horror","29,685,274",29.69,79727149,79.73,165.80,165800000,"245,527,149",246,67.53%,150,163.68%,19.79%,,,http://www.amazon.com/gp/product/B009KHBDUU/?tag=titb-20,1
Wrath of the Titans,2012,sequel,25,37,31.0,49,52,-3,50.5,-19.5,"action, adventure, fantasy","33,457,188",33.46,83670083,83.67,221.60,221600000,"305,270,083",305,72.59%,150,203.51%,22.30%,,,http://www.amazon.com/gp/product/B008EQIA7W/?tag=titb-20,1
Rise of the Guardians,2012,adaptation,74,57,65.5,81,75,6,78,-12.5,"animation, adventure, family","23,773,465",23.77,103412758,103.41,203.53,203528912,"306,941,670",307,66.31%,145,211.68%,16.40%,,,http://www.amazon.com/gp/product/B00BBQXQFI/?tag=titb-20,1
Madagascar 3: Europe's Most Wanted,2012,sequel,79,60,69.5,73,66,7,69.5,0,"animation, adventure, comedy","60,316,738",60.32,216391482,216.39,530.53,"530,529,792","746,921,274",747,71.03%,145,515.12%,41.60%,,,http://www.amazon.com/gp/product/B0097EZ36Q/?tag=titb-20,1
Prometheus,2012,original screenplay,74,65,69.5,69,65,4,67,2.5,"adventure, mystery, sci-fi","51,050,101",51.05,126477084,126.48,276.88,276877385,"403,354,469",403,68.64%,130,310.27%,39.27%,,,http://www.amazon.com/gp/product/B009AJDDQU/?tag=titb-20,1
Total Recall (2012),2012,adaptation,30,43,36.5,47,59,-12,53,-16.5,"action, adventure, sci-fi","25,577,758",25.58,58877969,58.88,139.59,139589199,"198,467,168",198,70.33%,125,158.77%,20.46%,,,http://www.amazon.com/gp/product/B00A0SLTCU/?tag=titb-20,1
The Bourne Legacy,2012,sequel,56,61,58.5,58,61,-3,59.5,-1,"action, adventure, mystery","38,142,825",38.14,113203870,113.20,162.94,162940880,"276,144,750",276,59.01%,125,220.92%,30.51%,,,http://www.amazon.com/gp/product/B00AMBH70S/?tag=titb-20,1
The Twilight Saga: Breaking Dawn Part 2,2012,sequel,48,52,50.0,71,42,29,56.5,-6.5,"adventure, fantasy","141,067,634",141.07,292324737,292.32,537.36,537360640,"829,685,377",830,64.77%,120,691.40%,117.56%,,,http://www.amazon.com/gp/product/B00BLQQQJ6/?tag=titb-20,1
Cloud Atlas,2012,adaptation,66,55,60.5,67,81,-14,74,-13.5,"adventure, sci-fi  ","9,612,247",9.61,27108272,27.11,103.37,103374596,"130,482,868",130,79.22%,102,127.92%,9.42%,,,http://www.amazon.com/gp/product/B00CRWJ5GO/?tag=titb-20,1
The Expendables 2,2012,sequel,65,51,58.0,68,70,-2,69,-11,"action, adventure, thriller","28,591,370",28.59,85028192,85.03,220.40,220400000,"305,428,192",305,72.16%,100,305.43%,28.59%,,,http://www.amazon.com/gp/product/B009WUAK2M/?tag=titb-20,1
Ice Age: Continental Drift,2012,sequel,37,49,43.0,63,60,3,61.5,-18.5,"animation, adventure, comedy","46,629,259",46.63,161321843,161.32,715.92,715922939,"877,244,782",877,81.61%,95,923.42%,49.08%,,,http://www.amazon.com/gp/product/B00APUQT7I/?tag=titb-20,1
Mirror Mirror,2012,adaptation,49,46,47.5,45,53,-8,49,-1.5,"adventure, comedy","18,132,085",18.13,64935167,64.94,101.24,101235755,"166,170,922",166,60.92%,85,195.50%,21.33%,,,http://www.amazon.com/gp/product/B0086DBE62/?tag=titb-20,1
Hotel Transylvania,2012,original screenplay,45,47,46.0,72,67,5,69.5,-23.5,"animation, comedy, family","42,522,194",42.52,148313048,148.31,210.06,210062555,"358,375,603",358,58.62%,85,421.62%,50.03%,,,http://www.amazon.com/gp/product/B00APJLY0Q/?tag=titb-20,1
Safe House,2012,original screenplay,53,52,52.5,64,65,-1,64.5,-12,"action, crime, mystery","40,172,720",40.17,126373434,126.37,81.70,81702771,"208,076,205",208,39.27%,85,244.80%,47.26%,,,http://www.amazon.com/gp/product/B0088TG252/?tag=titb-20,1
Journey 2: The Mysterious Island,2012,sequel,52,41,46.5,60,58,2,59,-12.5,"action, adventure, comedy","27,335,363",27.34,103860290,103.86,231.40,231400000,"335,260,290",335,69.02%,79,424.38%,34.60%,,,http://www.amazon.com/gp/product/B0088WG89O/?tag=titb-20,1
The Hunger Games,2012,adaptation,84,67,75.5,81,70,11,75.5,0,"adventure, sci-fi, thriller","152,535,747",152.54,408010692,408.01,283.24,283237076,"691,247,768",691,40.97%,78,886.22%,195.56%,,,http://www.amazon.com/gp/product/B008Z9YLV2/?tag=titb-20,1
Rock of Ages,2012,adaptation,41,47,44,55,59,-4,57,-13,"comedy, musical",14437269,14.00,38518613,39.00,20.90,20900000,"59,418,613",59,35.17%,75,79.22%,18.67%,,,http://www.amazon.com/gp/product/B009NPKTN6/?tag=titb-20,1
Dr. Seuss' The Lorax,2012,adaptation,54,46,50.0,64,65,-1,64.5,-14.5,"animation, comedy, family","70,217,070",70.22,214030500,214.03,134.81,134809816,"348,840,316",349,38.65%,70,498.34%,100.31%,,,http://www.amazon.com/gp/product/B008K3HRF0/?tag=titb-20,1
That's My Boy,2012,original screenplay,20,31,25.5,53,54,-1,53.5,-28,comedy,"13,453,714",13.45,36931089,36.93,20.79,20788004,"57,719,093",58,36.02%,70,82.46%,19.22%,,,http://www.amazon.com/gp/product/B009M1ACO2/?tag=titb-20,1
That's My Boy,2012,original screenplay,20,31,25.5,53,54,-1,53.5,-28,comedy,13453714,13.00,36931089,37.00,20.79,20788004,"57,719,093",58,36.02%,70,82.46%,18.57%,,,http://www.amazon.com/gp/product/B009M1ACO2/?tag=titb-20,1
Underworld Awakening,2012,sequel,26,39,32.5,62,63,-1,62.5,-30,"action, fantasy, horror","25,306,725",25.31,62321039,62.32,97.79,97791632,"160,112,671",160,61.08%,70,228.73%,36.15%,,,http://www.amazon.com/gp/product/B0094M2O7C/?tag=titb-20,1
Abraham Lincoln: Vampire Hunter,2012,adaptation,35,42,38.5,51,59,-8,55,-16.5,"action, fantasy, horror","16,306,974",16.31,37519139,37.52,78.95,78952441,"116,471,580",116,67.79%,69,168.80%,23.63%,,,http://www.amazon.com/gp/product/B009HV2JT8/?tag=titb-20,1
The Watch,2012,original screenplay,17,36,26.5,40,55,-15,47.5,-21,"comedy, sci-fi",12750297,13.00,35353000,35.00,32.91,32914862,"68,267,862",68,48.21%,68,100.39%,19.12%,,,http://www.amazon.com/gp/product/B00A6N773O/?tag=titb-20,1
Lincoln,2012,adaptation,90,86,88.0,81,75,6,78,10,"biography, history","944,308",0.94,182207973,182.21,93.09,93085477,"275,293,450",275,33.81%,65,423.53%,1.45%,,,http://www.amazon.com/gp/product/B00C1BU7V8/?tag=titb-20,1
The Dictator,2012,original screenplay,57,58,57.5,45,62,-17,53.5,4,comedy,"17,435,092",17.44,59650222,59.65,119.73,119729311,"179,379,533",179,66.75%,65,275.97%,26.82%,,,http://www.amazon.com/gp/product/B0090EIILU/?tag=titb-20,1
Red Dawn (2012),2012,remake / reboot,12,31,21.5,52,45,7,48.5,-27,"action, thriller, war","14,276,668",14.28,44806783,44.81,4.00,4000000,"44,806,787",45,8.93%,65,68.93%,21.96%,,,http://www.amazon.com/gp/product/B00BP4XHZU/?tag=titb-20,1
Resident Evil: Retribution,2012,sequel,31,39,35.0,51,50,1,50.5,-15.5,"action, horror, sci-fi","21,052,227",21.05,42345531,42.35,197.81,197813724,"240,159,255",240,82.37%,65,369.48%,32.39%,,,http://www.amazon.com/gp/product/B00APUQMD4/?tag=titb-20,1
Les Miserables (2012),2012,adaptation,70,63,66.5,79,73,6,76,-9.5,"musical, romance","27,281,735",27.28,148809770,148.81,293.00,293000000,"441,809,770",442,66.32%,61,724.28%,44.72%,,,http://www.amazon.com/gp/product/B00BI5IXL4/?tag=titb-20,1
Jack Reacher,2012,adaptation,61,50,55.5,67,62,5,64.5,-9,"action, crime, thriller","15,210,156",15.21,80070736,80.07,138.27,138269859,"218,340,595",218,63.33%,60,363.90%,25.35%,,,http://www.amazon.com/gp/product/B00COGY2P2/?tag=titb-20,1
ParaNorman,2012,original screenplay,87,72,79.5,72,71,1,71.5,8,"animation, adventure, comedy","14,087,050",14.09,56003051,56.00,51.14,51136348,"107,139,399",107,47.73%,60,178.57%,23.48%,,,http://www.amazon.com/gp/product/B009SQOGZ2/?tag=titb-20,1
Red Tails,2012,based on a true story,40,46,43.0,58,59,-1,58.5,-15.5,"action, adventure","18,782,154",18.78,49876377,49.88,0.49,489000,"50,365,377",50,0.97%,58,86.84%,32.38%,,,http://www.amazon.com/gp/product/B0085776BG/?tag=titb-20,1
Ghost Rider: Spirit of Vengeance,2012,adaptation,17,32,24.5,32,45,-13,38.5,-14,"action, fantasy, thriller","22,115,334",22.12,51774002,51.77,80.79,80789928,"132,563,930",133,60.94%,57,232.57%,38.80%,,,http://www.amazon.com/gp/product/B00845PT18/?tag=titb-20,1
The Pirates! Band of Misfits,2012,adaptation,86,73,79.5,60,68,-8,64,15.5,"animation, adventure, comedy","11,137,734",11.14,31051126,31.05,92.00,92002915,"123,054,041",123,74.77%,55,223.73%,20.25%,,,http://www.amazon.com/gp/product/B0091XRRQC/?tag=titb-20,1
Dredd,2012,adaptation,78,59,68.5,72,82,-10,77,-8.5,"action, crime, sci-fi",6278491,6.00,13414714,13.00,22.21,22211811,"35,626,525",36,62.35%,50,71.25%,12.00%,,,http://www.amazon.com/gp/product/B00AYB1RGG/?tag=titb-20,1
Ted,2012,original screenplay,68,62,65.0,74,70,4,72,-7,"comedy, fantasy","54,415,205",54.42,218815487,218.82,330.55,330552828,"549,368,315",549,60.17%,50,1098.74%,108.83%,,,http://www.amazon.com/gp/product/B00AMBLXP8/?tag=titb-20,1
American Reunion,2012,sequel,44,49,46.5,63,69,-6,66,-19.5,comedy,"21,514,080",21.51,57011521,57.01,177.98,177978063,"234,989,584",235,75.74%,50,469.98%,43.03%,,,http://www.amazon.com/gp/product/B008JAGZDE/?tag=titb-20,1
Savages (2012),2012,adaptation,51,59,55.0,55,64,-9,59.5,-4.5,"crime, thriller","16,016,910",16.02,47382068,47.38,35.58,35584084,"82,966,152",83,42.89%,45,184.37%,35.59%,,,http://www.amazon.com/gp/product/B00A6N7BS0/?tag=titb-20,1
Taken 2,2012,sequel,21,45,33.0,54,56,-2,55,-22,"action, crime, thriller","49,514,769",49.51,139854287,139.85,236.29,236287019,"376,141,306",376,62.82%,45,835.87%,110.03%,,,http://www.amazon.com/gp/product/B00APLFZWM/?tag=titb-20,1
21 Jump Street,2012,adaptation,85,69,77.0,82,75,7,78.5,-1.5,"action, comedy, crime","36,302,612",36.30,138447667,138.45,63.14,63137661,"201,585,328",202,31.32%,42,479.97%,86.43%,,,http://www.amazon.com/gp/product/B0081L37Z0/?tag=titb-20,1
Man on a Ledge,2012,original screenplay,32,40,36.0,52,62,-10,57,-21,"action, crime, thriller","8,001,932",8.00,18620000,18.62,27.60,27601189,"46,221,189",46,59.72%,42,110.05%,19.05%,,,http://www.amazon.com/gp/product/B0087UPMXU/?tag=titb-20,1
Big Miracle,2012,adaptation,74,61,67.5,64,59,5,61.5,6,romance,"7,760,205",7.76,20157300,20.16,4.56,4561915,"24,719,215",25,18.45%,40,61.80%,19.40%,,,http://www.amazon.com/gp/product/B008A1NSTG/?tag=titb-20,1
Big Miracle,2012,adaptation,74,61,67.5,64,59,5,61.5,6,romance,7760205,8.00,20157300,20.00,4.56,4561915,"24,719,215",25,18.45%,40,61.8%,20.00%,,,http://www.amazon.com/gp/product/B008A1NSTG/?tag=titb-20,1
What to Expect When You're Expecting,2012,adaptation,22,41,31.5,48,49,-1,48.5,-17,"comedy, romance","10,547,068",10.55,41152203,41.15,43.23,43231799,"84,384,002",84,51.23%,40,210.96%,26.37%,,,http://www.amazon.com/gp/product/B0098VXBIA/?tag=titb-20,1
Zero Dark Thirty,2012,based on a true story,93,95,94.0,80,66,14,73,21,"history, thriller","417,150",0.42,95720716,95.72,37.10,37100000,"132,820,716",133,27.93%,40,332.05%,1.04%,,,http://www.amazon.com/gp/product/B00BF11UM0/?tag=titb-20,1
The Guilt Trip,2012,original screenplay,38,50,44,40,66,-26,53,-9,comedy,5290629,5.00,37134215,37.00,4.73,4726399,"41,860,614",42,11.29%,40,104.65%,12.50%,,,http://www.amazon.com/gp/product/B00BMT9SQA/?tag=titb-20,1
Frankenweenie,2012,remake / reboot,87,74,80.5,70,73,-3,71.5,9,"animation, comedy, family","11,412,213",11.41,35291068,35.29,46.20,46200000,"81,491,068",81,56.69%,39,208.95%,29.26%,,,http://www.amazon.com/gp/product/B00AOOIIVA/?tag=titb-20,1
Premium Rush,2012,original screenplay,76,66,71,60,68,-8,64,7,"action, crime, thriller",6030164,6.00,20275446,20.00,10.81,10808153,"31,083,599",31,34.77%,35,88.81%,17.14%,,,http://www.amazon.com/gp/product/B00ARAO720/?tag=titb-20,1
Premium Rush,2012,original screenplay,76,66,71.0,60,68,-8,64,7,"action, crime, thriller","6,030,164",6.03,20275446,20.28,10.81,10808153,"31,083,599",31,34.77%,35,88.81%,17.23%,,,http://www.amazon.com/gp/product/B00ARAO720/?tag=titb-20,1
This Is 40,2012,sequel,51,59,55.0,51,59,-8,55,0,comedy,"11,579,175",11.58,67544505,67.54,20.51,20514281,"88,058,786",88,23.30%,35,251.60%,33.08%,,,http://www.amazon.com/gp/product/B00BGIBVP8/?tag=titb-20,1
Step Up Revolution,2012,sequel,42,43,42.5,69,46,23,57.5,-15,"music, romance","11,731,708",11.73,35074677,35.07,105.40,105396069,"140,470,746",140,75.03%,33,425.67%,35.55%,,,http://www.amazon.com/gp/product/B00A3YTC6Q/?tag=titb-20,1
The Master,2012,original screenplay,85,86,85.5,59,69,-10,64,21.5,drama,"736,311",0.74,16377274,16.38,11.88,11880786,"28,258,060",28,42.04%,32,88.31%,2.30%,,,http://www.amazon.com/gp/product/B00BLGXL3U/?tag=titb-20,1
The Master,2012,original screenplay,85,86,85.5,59,69,-10,64,21.5,drama,736311,1.00,16377274,16.00,11.88,11880786,"28,258,060",28,42.04%,32,88.31%,3.13%,,,http://www.amazon.com/gp/product/B00BLGXL3U/?tag=titb-20,1
Anna Karenina,2012,adaptation,63,63,63.0,51,65,-14,58,5,drama,"320,690",0.32,12816367,12.82,56.11,56112783,"68,929,150",69,81.41%,31,222.35%,1.03%,,,http://www.amazon.com/gp/product/B00BHU9BV6/?tag=titb-20,1
Flight,2012,original screenplay,78,76,77.0,75,72,3,73.5,3.5,thriller,"24,900,566",24.90,93772375,93.77,68.00,68000000,"161,772,375",162,42.03%,31,521.85%,80.32%,,,http://www.amazon.com/gp/product/B00BB8SKPW/?tag=titb-20,1
The Three Stooges,2012,adaptation,52,56,54.0,49,59,-10,54,0,comedy,"17,010,125",17.01,44338224,44.34,10.48,10481077,"54,819,301",55,19.12%,30,182.73%,56.70%,,,http://www.amazon.com/gp/product/B008DJBR5W/?tag=titb-20,1
